Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
8/8/15,Bournemouth,Aston Villa,L,7.024,3.303,3.748,20,17,0,0
8/8/15,Chelsea,Swansea,D,6.697,4.338,8.967,1,8,0,0
8/8/15,Everton,Watford,D,6.842,3.514,4.852,11,20,0,0
8/8/15,Leicester,Sunderland,W,7,3.207,3.742,14,16,0,0
8/8/15,Man United,Tottenham,W,6.477,3.651,5.318,4,5,0,0
8/8/15,Norwich,Crystal Palace,L,7.427,3.16,2.894,20,10,0,0
8/9/15,Arsenal,West Ham,L,6.763,5.04,10.098,3,12,0,0
8/9/15,Newcastle,Southampton,D,7.63,3.198,2.689,15,7,0,0
8/9/15,Stoke,Liverpool,L,8.011,3.356,2.416,9,6,0,0
8/10/15,West Brom,Man City,L,9.263,4.136,2.105,13,2,0,0
8/14/15,Aston Villa,Man United,L,9.343,3.966,2.142,17,4,1,-1
8/15/15,Southampton,Everton,L,7.024,3.278,3.9,7,11,1,0
8/15/15,Sunderland,Norwich,L,7.358,3.148,3.019,16,20,-1,-1
8/15/15,Swansea,Newcastle,W,6.983,3.335,3.912,8,15,0,1
8/15/15,Tottenham,Stoke,D,6.887,3.446,4.498,5,9,-1,0
8/15/15,Watford,West Brom,D,7.246,3.199,3.175,20,13,1,-1
8/15/15,West Ham,Leicester,L,7.202,3.257,3.229,12,14,1,-1
8/16/15,Crystal Palace,Arsenal,L,9.465,3.953,2.11,10,3,0,-1
8/16/15,Man City,Chelsea,W,6.869,3.268,3.537,2,1,1,-1
8/17/15,Liverpool,Bournemouth,W,6.526,4.224,7.071,6,20,1,1
8/22/15,Crystal Palace,Aston Villa,W,6.468,3.337,4.237,10,17,-1,0
8/22/15,Leicester,Tottenham,D,7.084,3.31,2.698,14,5,0,1
8/22/15,Man United,Newcastle,D,6.034,4.607,8.468,4,15,1,0
8/22/15,Norwich,Stoke,D,6.818,3.172,3.135,20,9,0,-1
8/22/15,Sunderland,Swansea,D,7.818,3.4,2.294,16,8,-1,0
8/22/15,West Ham,Bournemouth,L,6.835,3.231,3.086,12,20,1,0
8/23/15,Everton,Man City,L,8.504,3.983,2.075,11,2,1,0
8/23/15,Watford,Southampton,D,7.116,3.206,2.709,20,7,0,0
8/23/15,West Brom,Chelsea,L,9.549,4.079,2.131,13,1,-1,0
8/24/15,Arsenal,Liverpool,D,6.081,3.567,4.6,3,6,1,-1
8/29/15,Aston Villa,Sunderland,D,6.406,3.278,4.167,17,16,0,-1
8/29/15,Bournemouth,Leicester,D,6.602,3.283,3.277,20,14,1,1
8/29/15,Chelsea,Crystal Palace,L,6.144,4.511,8.827,1,10,0,0
8/29/15,Liverpool,West Ham,L,6.181,4.603,8.137,6,12,1,1
8/29/15,Man City,Watford,W,6.333,6.46,12.909,2,20,1,0
8/29/15,Newcastle,Arsenal,L,9.335,4.236,2.087,15,3,1,0
8/29/15,Stoke,West Brom,L,6.413,3.225,3.992,9,13,-1,-1
8/29/15,Tottenham,Everton,D,6.452,3.32,3.787,5,11,-1,-1
8/30/15,Southampton,Norwich,W,6.477,3.282,3.666,7,20,0,1
8/30/15,Swansea,Man United,W,7.557,3.318,2.37,8,4,-1,-1
9/12/15,Arsenal,Stoke,W,5.744,5.093,10.315,3,9,1,0
9/12/15,Crystal Palace,Man City,L,8.754,4.226,2.076,10,2,0,0
